Mouse_ID,Feces_weight_Extraction,Feces_weight,hydrated,Extraction_Sample,Extraction_Date,DNA_Dilution_ng/microliter,dest_Water,FEC_DNA_Content_ng/microliter,Nanodrop_1,Nanodrop_2,Crypto_pos,FEC_Crypto_Ct,Crypto_Ct1,Crypto_Ct2,Crypto_Ct3,Eim_pos,MC.Eimeria,Ct.Eimeria,Eim_Ct1,Eim_Ct2,Eim_Ct3,Eim_Ct4,Eim_Ct5,Eim_Ct6
AA_1039,0.0121,0.3811,TRUE,FEC,28.09.2022,85.7,-55.7,17.5,-,-,,,,,,,,,,,,,,
AA_1040,0.0301,0.3750,TRUE,FEC,28.09.2022,34.2,-4.2,43.9,-,-,,,,,,,,,,,,,,
AA_1041,0.0221,0.4406,TRUE,FEC,28.09.2022,8.8,21.2,171.4,-,-,,,,,,,,,,,,,,
AA_1042,0.0151,,,FEC,28.09.2022,59.1,-29.1,25.4,-,-,,,,,,,,,,,,,,
AA_1043,0.0186,,,FEC,28.09.2022,22.7,7.3,66.1,-,-,,,,,,,,,,,,,,
CB_006,0.0259,,,FEC,28.09.2022,272.7,-242.7,5.5,-,-,,,,,,,,,,,,,,
CB_007,0.0265,,,FEC,28.09.2022,272.7,-242.7,5.5,-,-,,,,,,,,,,,,,,
CB_008,0.0323,NA,NA,FEC,28.09.2022,319.1,-289.1,4.7,-,-,,,,,,,,,,,,,,
CB_009,0.0475,0.6290,T,FEC,28.09.2022,168.5,-138.5,8.9,-,-,,,,,,,,,,,,,,
CB_010,0.0490,0.4913,T,FEC,28.09.2022,70.8,-40.8,21.2,-,-,,,,,,,,,,,,,,
ZZ_0094,0.0270,,,ILCO,28.09.2022,61.2,-31.2,24.5,-,-,,,,,,,,,,,,,,
ZZ_0095,0.0428,,,ILCO,28.09.2022,107.9,-77.9,13.9,-,-,,,,,,,,,,,,,,
ZZ_0096,0.0119,,,FEC,28.09.2022,6.6,23.4,227.6,-,-,,,,,,,,,,,,,,
ZZ_0097,0.0419,,,ILCO,28.09.2022,416.7,-386.7,3.6,-,-,,,,,,,,,,,,,,
ZZ_0098,0.1501,,,ILCO,28.09.2022,59.5,-29.5,25.2,-,-,,,,,,,,,,,,,,
AA_1044,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1045,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1046,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1047,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1048,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1049,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1050,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1051,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1052,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1053,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1054,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1055,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1056,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1057,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1058,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1059,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1060,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1061,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1062,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1063,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1064,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1065,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1066,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1067,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
AA_1068,,,,,30.09.2022,,,,,,,,,,,,,,,,,,,
